ID,Education,Income,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Complain,Living_Status,Total_Promos_accep,Age,Total_Consumption,Total_Num_Purchases,Seniority
3033,Postgraduate,38620.0,0,0,56,3,0,Partner,0,51,318,11,14
5710,Graduate,40548.0,0,1,31,5,0,Partner,1,44,120,9,27
7373,Postgraduate,46610.0,0,2,8,6,0,Alone,0,62,302,17,27
8755,Postgraduate,68657.0,0,0,4,7,0,Partner,0,68,1196,18,23
10738,Postgraduate,49389.0,1,1,55,7,0,Alone,0,63,65,6,17
4339,Postgraduate,67353.0,0,1,37,2,0,Partner,0,44,913,28,13
10755,Undergraduate,23718.0,1,0,76,7,0,Partner,0,38,81,9,23
8595,Graduate,42429.0,0,1,99,5,0,Alone,0,41,67,7,2
2968,Postgraduate,48948.0,0,0,53,6,0,Alone,1,71,902,24,24
8601,Graduate,80011.0,0,1,3,4,0,Partner,0,34,1395,21,21
503,Postgraduate,20559.0,1,0,88,8,0,Partner,0,29,53,7,13
8430,Graduate,21994.0,0,1,4,5,0,Partner,0,57,22,4,25
2139,Postgraduate,7500.0,1,0,19,5,0,Partner,0,39,31,8,23
1371,Graduate,79941.0,0,0,72,1,0,Alone,0,38,984,16,7
9909,Undergraduate,7500.0,0,0,24,9,0,Partner,0,18,122,10,28
7286,Graduate,41728.0,1,0,92,10,0,Partner,0,46,55,5,20
6566,Postgraduate,72550.0,1,1,39,8,0,Partner,0,60,1319,28,29
8614,Graduate,65486.0,0,1,29,2,0,Alone,0,57,507,17,1
4114,Postgraduate,79143.0,0,0,2,3,0,Partner,0,50,1693,29,26
1331,Graduate,35790.0,1,0,54,7,0,Alone,0,37,72,7,23
2225,Graduate,82582.0,0,0,54,1,0,Alone,2,37,1617,21,6
9381,Graduate,66373.0,1,1,57,3,0,Partner,0,36,606,23,13
6260,Postgraduate,82384.0,0,0,55,1,0,Partner,1,59,1957,27,26
10383,Graduate,70287.0,0,0,30,3,0,Alone,0,48,1093,21,23
7437,Graduate,27938.0,1,0,31,3,0,Alone,0,26,29,6,9
8375,Postgraduate,55954.0,0,1,63,7,0,Partner,0,46,518,19,10
6853,Postgraduate,75777.0,0,0,12,1,0,Alone,2,32,1438,21,21
3076,Graduate,66653.0,1,1,18,3,0,Partner,0,39,612,22,30
1012,Graduate,61823.0,0,1,26,7,0,Alone,0,62,884,24,23
6518,Postgraduate,67680.0,0,1,8,5,0,Alone,0,63,606,19,14
4137,Graduate,70666.0,0,0,29,4,0,Partner,0,66,1076,16,19
8082,Graduate,25721.0,1,0,75,7,0,Partner,0,43,34,5,20
1386,Graduate,32474.0,1,1,0,7,0,Partner,0,47,11,4,2
9369,Undergraduate,88194.0,0,1,19,5,0,Alone,2,35,1274,32,10
4477,Graduate,69096.0,0,1,4,4,0,Partner,0,56,653,18,16
1357,Graduate,74854.0,1,2,90,5,0,Partner,0,44,1562,19,17
1402,Postgraduate,66991.0,0,0,1,3,0,Partner,0,60,1253,21,26
6312,Graduate,65031.0,0,1,29,7,0,Partner,0,55,863,30,22
8132,Postgraduate,60631.0,1,1,88,7,0,Partner,1,39,661,24,20
1050,Graduate,28332.0,0,0,58,2,0,Partner,0,62,65,8,9
5846,Graduate,40246.0,1,0,68,6,0,Alone,0,37,13,4,25
1859,Postgraduate,75251.0,0,0,34,5,0,Partner,0,42,1890,19,29
7503,Graduate,75825.0,0,0,40,4,0,Alone,1,38,2209,22,25
10401,Undergraduate,26326.0,0,0,12,3,1,Partner,0,38,18,4,21
1618,Graduate,56046.0,0,0,9,8,0,Partner,1,49,692,21,23
3332,Graduate,29760.0,1,0,87,8,0,Alone,0,29,165,12,29
2261,Graduate,26304.0,1,0,5,7,0,Partner,0,45,16,4,19
5346,Undergraduate,23559.0,1,0,87,7,0,Partner,0,41,79,9,22
4119,Postgraduate,38620.0,0,0,56,3,0,Partner,0,51,318,11,14
535,Graduate,81361.0,0,0,18,1,0,Alone,0,27,778,27,11
5268,Graduate,29440.0,1,1,95,7,0,Partner,0,54,56,7,14
273,Postgraduate,36138.0,1,1,48,7,0,Partner,1,44,151,13,18
4452,Graduate,50388.0,0,1,3,7,0,Alone,2,57,372,17,8
8504,Graduate,79593.0,0,0,70,2,0,Partner,1,41,1366,19,1
771,Graduate,54178.0,0,1,79,2,0,Partner,0,47,194,10,12
11178,Postgraduate,42394.0,1,0,69,7,0,Alone,0,42,32,5,10
2230,Postgraduate,23626.0,1,0,84,5,0,Partner,0,44,43,10,8
7516,Graduate,30096.0,1,0,30,6,0,Partner,0,31,45,6,8
7247,Graduate,47916.0,0,1,72,6,0,Alone,1,54,606,22,26
11100,Graduate,51813.0,1,1,37,7,0,Alone,0,42,63,7,14
4646,Undergraduate,78497.0,0,0,44,2,0,Partner,1,63,978,25,24
3037,Postgraduate,50150.0,0,0,32,5,0,Partner,0,31,410,16,19
1473,Undergraduate,47823.0,0,1,0,8,0,Alone,0,54,72,7,18
1016,Postgraduate,34554.0,0,1,43,6,0,Alone,0,55,55,7,10
4518,Graduate,85693.0,0,1,59,5,0,Partner,0,35,1169,27,21
9370,Postgraduate,65846.0,0,0,68,4,0,Partner,0,69,1120,16,20
8908,Graduate,87195.0,0,0,35,1,0,Partner,0,55,1097,20,5
8373,Undergraduate,24594.0,1,0,94,5,0,Partner,0,35,29,5,15
7533,Graduate,49096.0,1,1,15,7,0,Partner,0,50,187,13,16
2683,Graduate,52413.0,0,2,56,6,0,Partner,0,45,910,26,23
3629,Graduate,38557.0,1,0,17,7,0,Alone,0,36,145,9,25
10991,Postgraduate,89058.0,0,0,18,2,0,Partner,0,54,850,14,30
5077,Graduate,77298.0,0,1,46,3,0,Partner,0,35,969,24,23
7431,Postgraduate,68126.0,0,0,40,9,0,Alone,1,23,1820,17,27
3267,Postgraduate,57288.0,0,1,27,6,0,Partner,1,51,608,20,7
999,Graduate,86037.0,0,0,95,3,0,Alone,2,23,730,25,23
9215,Postgraduate,43974.0,1,0,19,7,0,Partner,0,34,551,21,25
2286,Graduate,50785.0,1,1,27,6,0,Alone,0,52,114,8,15
1592,Graduate,90765.0,0,0,25,1,0,Partner,2,44,1724,15,12
367,Undergraduate,36550.0,1,0,74,9,0,Partner,0,36,577,20,23
5234,Undergraduate,30753.0,1,1,85,5,0,Partner,0,47,81,7,14
9862,Graduate,21918.0,1,0,37,6,0,Partner,0,45,33,7,14
9805,Postgraduate,56129.0,0,1,65,4,0,Partner,0,61,660,22,19
6205,Postgraduate,32557.0,1,0,13,5,0,Alone,0,47,80,9,11
8442,Postgraduate,19510.0,2,0,63,7,0,Partner,0,29,30,6,21
7386,Graduate,30992.0,1,0,83,7,0,Alone,0,38,43,5,21
7215,Graduate,101970.0,0,0,69,2,0,Alone,3,31,1135,27,13
1491,Undergraduate,71488.0,0,0,87,1,0,Partner,0,49,559,16,23
11071,Graduate,79607.0,0,0,37,1,0,Alone,0,30,1923,16,21
3381,Postgraduate,54348.0,1,1,51,6,0,Partner,0,61,90,8,5
11051,Postgraduate,77376.0,1,1,72,4,0,Partner,0,58,661,23,3
8026,Graduate,62998.0,0,1,10,5,0,Partner,0,62,463,19,16
433,Postgraduate,61331.0,1,1,42,8,0,Alone,0,56,632,23,15
9597,Graduate,73448.0,0,0,10,4,0,Partner,0,45,725,19,3
5290,Postgraduate,41551.0,1,1,51,8,0,Partner,0,50,279,16,17
1685,Postgraduate,62981.0,0,0,21,3,0,Partner,1,47,1482,23,22
5342,Undergraduate,9548.0,1,0,31,8,0,Alone,0,38,29,6,29
9579,Postgraduate,33762.0,2,1,61,8,0,Partner,0,55,106,9,18
7660,Postgraduate,35860.0,1,1,37,5,0,Alone,1,41,49,6,8
1461,Postgraduate,36921.0,1,1,74,7,0,Alone,0,49,38,7,18
821,Postgraduate,92859.0,0,0,46,2,0,Alone,0,22,2077,22,27
11084,Postgraduate,65104.0,0,1,4,7,0,Partner,0,38,1053,17,14
8690,Graduate,86111.0,0,0,73,2,0,Partner,0,52,1385,23,21
2937,Postgraduate,68352.0,0,1,47,6,0,Alone,0,40,871,25,17
9701,Graduate,41883.0,1,0,13,7,0,Partner,0,26,312,12,22
9949,Graduate,59809.0,0,2,36,8,0,Partner,0,38,877,15,27
10837,Graduate,23957.0,1,0,47,6,0,Partner,0,39,68,6,27
3120,Graduate,38547.0,1,0,49,8,1,Partner,0,33,22,4,17
5885,Undergraduate,35688.0,2,1,94,8,0,Partner,0,41,211,16,29
4050,Postgraduate,49605.0,0,0,65,3,0,Partner,0,48,127,8,7
3830,Postgraduate,59354.0,0,2,59,3,0,Partner,0,61,459,16,9
7987,Graduate,65747.0,0,1,96,6,0,Partner,1,45,460,19,6
7798,Undergraduate,46344.0,0,1,28,7,0,Partner,0,42,429,17,25
92,Graduate,34176.0,1,0,12,6,0,Alone,0,26,89,11,1
7055,Postgraduate,61010.0,0,1,57,5,0,Partner,0,62,1021,26,28
10240,Graduate,69372.0,0,0,10,4,0,Partner,2,65,1381,21,23
3025,Graduate,49967.0,0,1,4,7,0,Alone,0,56,306,15,17
9283,Graduate,60199.0,1,2,49,4,0,Alone,0,36,18,4,13
9970,Graduate,55375.0,0,1,3,2,0,Partner,0,37,162,9,15
2730,Graduate,80317.0,0,0,64,1,0,Alone,0,59,1231,18,17
2795,Postgraduate,30523.0,2,1,0,7,0,Alone,0,56,13,4,24
9260,Postgraduate,70356.0,0,0,20,6,0,Partner,0,69,1706,27,32
8182,Graduate,23228.0,1,0,91,8,0,Partner,0,30,121,11,8
10095,Postgraduate,74165.0,0,0,9,2,0,Alone,0,39,1293,20,24
4370,Graduate,43482.0,2,1,83,6,0,Partner,0,48,88,9,14
10573,Graduate,62551.0,0,0,27,3,0,Alone,1,61,421,18,14
3712,Graduate,52332.0,0,0,63,4,0,Alone,1,55,259,12,17
6637,Graduate,66951.0,0,0,46,1,0,Alone,0,26,1117,15,23
3152,Graduate,26091.0,1,1,84,5,0,Partner,0,57,89,9,11
5610,Graduate,33456.0,1,1,58,7,0,Partner,0,49,36,6,9
6460,Graduate,28718.0,1,0,78,8,0,Partner,0,32,57,7,18
1349,Graduate,50447.0,2,0,4,6,0,Partner,0,44,148,8,9
1880,Postgraduate,53537.0,1,1,17,5,0,Partner,0,55,93,8,12
641,Graduate,52074.0,0,1,77,4,0,Alone,1,47,119,7,9
8717,Postgraduate,80427.0,0,1,56,5,0,Partner,0,39,1835,28,25
10314,Postgraduate,83837.0,0,0,79,4,0,Partner,2,66,1318,25,25
10854,Postgraduate,38853.0,1,1,90,7,0,Partner,0,44,45,7,8
10492,Graduate,38285.0,2,1,96,2,0,Partner,0,55,10,4,7
6935,Undergraduate,78497.0,0,0,44,2,0,Partner,1,63,978,25,24
7698,Postgraduate,51650.0,0,1,81,5,0,Partner,0,38,191,10,2
3559,Undergraduate,16248.0,1,0,77,6,0,Partner,0,26,57,9,3
10562,Postgraduate,66835.0,0,0,21,2,0,Partner,0,68,1033,24,16
10796,Postgraduate,30477.0,1,0,16,6,0,Partner,0,30,66,6,12
2563,Undergraduate,28249.0,0,0,80,6,0,Partner,0,53,43,6,7
3518,Graduate,25271.0,1,0,45,9,0,Partner,0,31,50,5,32
5823,Postgraduate,32303.0,0,1,63,5,0,Alone,0,44,39,7,5
3934,Graduate,61286.0,0,1,34,5,0,Partner,0,48,608,18,23
6982,Graduate,74068.0,0,0,14,2,0,Partner,0,38,1581,24,22
6431,Postgraduate,45759.0,1,1,13,7,0,Partner,0,50,68,7,23
9733,Undergraduate,24882.0,1,0,52,6,0,Partner,1,36,80,5,28
5602,Postgraduate,66973.0,0,0,98,3,0,Partner,0,25,1282,28,20
7829,Undergraduate,36640.0,1,0,99,5,1,Alone,0,114,65,6,16
1324,Graduate,38872.0,1,0,93,8,0,Partner,0,26,91,8,20
326,Graduate,51148.0,1,1,38,6,0,Partner,0,41,315,16,23
7224,Graduate,31353.0,1,1,24,8,0,Partner,0,37,31,6,13
6999,Postgraduate,69661.0,0,0,80,3,0,Partner,0,34,834,23,8
9938,Graduate,80067.0,0,0,82,2,0,Partner,1,60,1600,17,16
6422,Graduate,86718.0,0,0,20,2,0,Partner,0,60,1270,17,24
3182,Postgraduate,46854.0,1,1,81,8,0,Alone,1,41,263,15,10
7300,Graduate,69142.0,0,1,50,5,0,Alone,1,62,535,19,7
10424,Graduate,75922.0,0,0,60,1,0,Alone,0,46,1295,18,16
8727,Graduate,63693.0,0,1,63,6,0,Alone,0,36,1150,29,15
2798,Postgraduate,102160.0,0,0,54,4,0,Partner,3,37,1240,26,35
1030,Postgraduate,40637.0,1,1,72,7,0,Alone,0,49,38,6,18
624,Postgraduate,18890.0,0,0,5,6,0,Alone,1,30,35,4,27
5176,Graduate,29604.0,1,0,88,9,0,Partner,1,26,53,5,17
5552,Postgraduate,48721.0,1,1,50,6,0,Alone,0,51,293,17,20
868,Graduate,44794.0,0,1,99,6,0,Partner,0,48,65,6,5
380,Graduate,64497.0,0,1,17,8,0,Alone,1,60,1804,29,27
2677,Graduate,46097.0,0,1,11,4,0,Partner,0,58,241,15,22
6521,Graduate,77972.0,0,0,18,1,0,Partner,0,60,1101,20,10
6927,Postgraduate,44377.0,1,1,70,8,0,Partner,0,46,264,19,32
2877,Postgraduate,46014.0,1,1,21,7,0,Partner,0,40,541,26,24
0,Graduate,70951.0,0,0,66,1,0,Partner,0,29,1198,17,21
1584,Graduate,41443.0,1,0,79,8,0,Partner,0,37,482,20,12
7264,Undergraduate,52195.0,2,1,2,8,0,Alone,0,36,17,4,1
6274,Postgraduate,83790.0,0,0,81,3,0,Partner,2,66,1615,25,14
1377,Postgraduate,44551.0,0,1,24,7,0,Alone,0,60,285,12,17
454,Graduate,69508.0,1,0,48,6,0,Partner,0,34,1135,28,26
1755,Undergraduate,45204.0,1,0,93,3,0,Partner,0,26,114,7,2
2075,Graduate,72460.0,0,0,56,1,0,Partner,0,45,1047,16,14
4785,Postgraduate,77622.0,0,2,3,3,0,Partner,0,44,714,22,9
9076,Postgraduate,30732.0,1,0,44,8,0,Partner,0,34,185,13,20
7079,Graduate,63887.0,0,1,38,6,0,Alone,0,52,1245,32,29
4653,Graduate,42011.0,1,0,46,8,0,Partner,0,36,189,12,22
7375,Graduate,51369.0,0,1,84,8,0,Partner,0,38,576,16,27
709,Graduate,51537.0,0,1,27,8,0,Alone,0,62,1103,18,28
460,Postgraduate,79930.0,0,0,72,2,0,Partner,0,42,1753,17,29
3726,Postgraduate,34320.0,1,0,66,8,0,Partner,0,28,17,4,11
6798,Graduate,37070.0,1,1,30,7,0,Alone,0,48,433,23,22
5341,Undergraduate,81975.0,0,1,2,7,0,Alone,1,52,1588,14,20
1606,Graduate,38590.0,1,0,65,8,0,Partner,0,43,22,4,20
9617,Graduate,15033.0,0,0,37,3,0,Alone,0,63,19,5,9
3233,Postgraduate,62745.0,0,1,89,5,0,Partner,0,49,1117,29,22
89,Undergraduate,22212.0,1,0,49,6,0,Partner,0,39,69,8,16
2936,Postgraduate,23661.0,1,0,46,7,0,Partner,0,32,23,5,21
9449,Postgraduate,79761.0,0,1,32,3,0,Alone,0,56,605,19,21
7297,Graduate,7500.0,1,0,54,7,0,Alone,0,41,57,11,13
11004,Undergraduate,60182.0,0,1,23,4,0,Alone,0,121,22,4,8
313,Graduate,73455.0,0,0,98,3,0,Alone,1,46,2088,22,15
9940,Graduate,64961.0,0,1,97,3,0,Partner,0,56,1009,16,25
10735,Graduate,22804.0,1,0,75,9,0,Alone,0,43,26,5,18
9529,Graduate,73687.0,0,0,8,2,0,Partner,1,24,1627,22,14
6439,Graduate,61074.0,0,1,37,7,0,Partner,0,56,1102,31,29
7411,Postgraduate,31686.0,1,1,31,6,0,Partner,0,50,17,6,8
2176,Graduate,80134.0,1,0,40,6,0,Partner,3,42,1690,16,20
9265,Graduate,75027.0,0,1,74,5,0,Partner,0,61,1390,21,16
8867,Postgraduate,67546.0,0,0,90,3,0,Partner,0,26,2126,20,29
8932,Postgraduate,65176.0,0,1,57,6,0,Partner,0,45,1531,25,27
10236,Postgraduate,31160.0,1,0,59,8,0,Alone,0,39,64,7,16
6340,Graduate,29938.0,1,0,52,6,0,Alone,0,29,26,6,15
10089,Graduate,102692.0,0,0,5,2,0,Alone,4,40,1112,29,20
2227,Undergraduate,26490.0,0,0,92,6,0,Partner,0,56,210,11,28
10992,Graduate,75702.0,1,1,77,8,0,Partner,0,47,1148,26,29
5304,Postgraduate,30899.0,1,0,35,6,0,Alone,0,40,33,6,27
309,Postgraduate,63342.0,0,1,48,6,0,Partner,1,53,1101,19,27
3406,Graduate,45989.0,0,1,97,3,0,Alone,0,50,322,16,27
2661,Graduate,18701.0,1,1,95,5,0,Alone,0,50,44,10,21
3153,Postgraduate,40737.0,2,1,24,8,0,Alone,0,57,17,4,17
10264,Graduate,15287.0,1,0,60,7,0,Alone,1,35,31,6,27
1184,Postgraduate,69674.0,0,2,46,5,0,Alone,0,46,845,25,20
4200,Postgraduate,44159.0,1,0,85,5,0,Partner,0,44,275,15,7
9396,Postgraduate,37717.0,1,0,31,9,0,Partner,0,36,25,4,26
2387,Postgraduate,43776.0,1,1,9,8,0,Partner,0,62,275,17,22
6690,Postgraduate,38179.0,1,1,30,7,0,Partner,0,48,90,11,22
1225,Graduate,80124.0,0,0,47,1,0,Partner,1,51,1495,19,7
9703,Postgraduate,38097.0,1,1,70,7,0,Partner,1,44,184,11,27
291,Graduate,72940.0,0,0,13,1,0,Partner,0,44,981,13,19
4557,Graduate,22070.0,1,0,11,6,0,Partner,0,44,67,8,21
2379,Graduate,69267.0,0,0,31,7,0,Alone,0,61,1635,14,28
5726,Postgraduate,31788.0,1,0,15,5,1,Alone,0,31,60,10,10
3066,Postgraduate,61905.0,0,1,2,5,0,Partner,0,39,231,12,9
6336,Graduate,29315.0,1,1,55,6,0,Partner,0,54,48,10,7
10967,Graduate,33378.0,1,1,38,7,0,Alone,0,51,99,9,19
2304,Postgraduate,66313.0,0,1,86,4,0,Partner,0,51,770,23,16
3445,Graduate,60714.0,0,0,56,5,0,Alone,0,58,957,23,24
7828,Postgraduate,77882.0,0,0,29,1,0,Partner,0,33,818,12,9
3762,Postgraduate,69867.0,0,0,30,1,0,Alone,1,28,925,17,23
4391,Postgraduate,63841.0,0,1,64,6,0,Alone,0,46,908,22,21
4669,Undergraduate,24480.0,1,0,46,7,0,Partner,0,33,102,10,14
10144,Graduate,51369.0,0,1,84,8,0,Partner,0,38,576,16,27
8652,Graduate,37760.0,0,0,20,7,0,Partner,0,68,317,13,29
1672,Postgraduate,65640.0,0,1,74,2,0,Partner,0,40,461,15,12
8962,Postgraduate,44319.0,1,1,18,5,0,Partner,0,39,37,7,9
9974,Graduate,30631.0,1,0,75,7,0,Partner,0,40,70,7,13
10983,Graduate,75278.0,0,0,17,3,0,Partner,0,62,930,23,24
8148,Postgraduate,50898.0,1,1,88,5,0,Partner,0,58,859,33,17
10102,Graduate,79946.0,0,0,19,3,0,Alone,0,48,1478,22,1
4697,Postgraduate,35416.0,0,0,62,8,0,Alone,0,65,390,16,19
9262,Undergraduate,32414.0,0,0,11,7,0,Partner,1,30,52,5,21
7254,Graduate,38361.0,1,0,74,7,0,Partner,0,45,137,10,13
4543,Graduate,82497.0,0,0,32,4,0,Partner,1,34,1919,19,27
4927,Graduate,16626.0,2,0,76,9,0,Partner,0,43,68,9,12
10451,Graduate,29672.0,1,1,6,6,0,Partner,0,49,25,4,13
2926,Postgraduate,55951.0,0,1,62,8,0,Partner,2,62,1374,23,29
2874,Undergraduate,35388.0,1,0,20,7,0,Alone,0,26,32,5,18
9738,Postgraduate,42386.0,1,0,43,8,0,Partner,0,28,100,7,24
7119,Graduate,68627.0,0,0,45,1,0,Alone,0,32,825,12,13
3924,Postgraduate,57912.0,0,1,34,5,0,Alone,1,49,916,28,10
5827,Graduate,35246.0,1,1,53,5,0,Alone,0,56,62,11,9
5596,Undergraduate,58821.0,0,1,44,6,0,Partner,0,58,728,21,13
10812,Postgraduate,46377.0,1,0,89,4,0,Partner,0,36,90,7,12
1717,Graduate,39747.0,1,0,43,8,0,Alone,0,26,273,13,9
9491,Graduate,23976.0,1,0,68,7,0,Partner,0,30,66,10,13
9274,Postgraduate,80950.0,0,0,44,2,0,Partner,1,53,1213,23,22
6609,Graduate,27038.0,0,0,64,9,0,Alone,0,48,107,7,28
6963,Graduate,77457.0,0,0,85,1,0,Alone,1,67,1157,18,8
4440,Postgraduate,64100.0,0,1,93,7,0,Partner,1,50,546,18,15
1379,Postgraduate,42670.0,0,0,12,4,0,Partner,0,22,241,11,21
10032,Graduate,12571.0,1,0,86,6,0,Alone,0,38,53,11,12
2826,Graduate,22574.0,2,1,28,7,0,Partner,0,47,37,7,15
6320,Postgraduate,70893.0,0,0,42,3,0,Alone,0,38,1508,23,19
3050,Graduate,54198.0,1,1,13,4,0,Partner,0,48,235,16,13
231,Postgraduate,28839.0,1,1,86,5,0,Partner,0,58,32,7,2
2392,Graduate,40321.0,1,1,59,7,0,Partner,0,42,102,8,18
9478,Graduate,66503.0,1,0,30,3,0,Alone,0,29,401,15,29
113,Graduate,30833.0,1,1,33,5,0,Partner,0,63,28,6,18
1802,Graduate,64795.0,0,1,23,2,0,Partner,0,43,680,21,24
520,Graduate,34421.0,1,0,81,7,0,Partner,0,40,30,4,24
8275,Postgraduate,47025.0,1,1,6,7,0,Alone,0,49,20,4,4
9750,Postgraduate,64325.0,0,1,41,7,0,Alone,0,53,1307,23,18
2607,Graduate,40464.0,0,1,78,8,0,Alone,0,61,630,24,14
7214,Graduate,62187.0,0,0,49,3,0,Partner,0,57,1283,18,20
5835,Postgraduate,14849.0,1,0,39,8,0,Alone,0,38,65,9,23
3896,Graduate,27255.0,1,0,3,7,0,Partner,0,30,37,5,18
10350,Postgraduate,54432.0,2,1,37,4,0,Partner,0,64,38,5,16
7786,Postgraduate,29999.0,1,0,22,8,0,Alone,0,28,160,12,23
2861,Graduate,24072.0,1,0,79,8,0,Alone,0,31,23,4,21
663,Postgraduate,33996.0,0,0,46,4,0,Alone,0,25,71,6,14
10675,Postgraduate,66334.0,0,1,82,5,0,Partner,0,58,1161,19,22
2521,Postgraduate,35178.0,1,0,10,7,0,Partner,1,43,59,5,15
9592,Graduate,22010.0,1,0,51,8,0,Partner,0,31,33,7,19
10151,Graduate,62204.0,0,2,38,3,0,Alone,0,54,946,22,25
7381,Graduate,75693.0,0,0,10,4,0,Alone,3,46,1442,22,31
4099,Graduate,30675.0,1,0,14,8,0,Partner,0,42,62,5,25
9560,Graduate,83003.0,0,0,18,3,0,Partner,1,49,1674,22,22
1150,Postgraduate,83532.0,0,0,36,1,0,Partner,1,115,1853,15,16
10172,Graduate,68655.0,0,0,95,3,0,Alone,0,26,1538,21,27
11191,Graduate,41411.0,0,0,11,6,0,Alone,0,28,139,8,18
9707,Postgraduate,55212.0,0,1,65,8,0,Partner,2,45,1182,20,26
6245,Postgraduate,59292.0,0,1,71,3,0,Partner,0,64,507,18,19
8234,Undergraduate,27190.0,1,0,13,8,0,Partner,1,41,18,4,17
1411,Graduate,82623.0,0,0,58,1,0,Alone,0,62,940,16,15
8553,Graduate,44300.0,1,1,65,6,0,Partner,0,49,42,6,19
1826,Graduate,84835.0,0,0,0,1,0,Alone,0,44,1190,15,7
8842,Graduate,30372.0,1,1,33,7,0,Alone,0,43,44,8,25
11030,Postgraduate,33181.0,1,0,90,6,0,Partner,1,38,16,4,10
2579,Graduate,71113.0,0,1,95,4,0,Partner,0,57,835,26,13
175,Graduate,71952.0,1,0,93,4,0,Partner,2,28,1443,22,15
9185,Postgraduate,69759.0,0,0,38,3,0,Alone,0,48,1029,18,15
11056,Graduate,72099.0,0,0,18,1,0,Partner,0,40,1188,18,27
9365,Postgraduate,60000.0,0,1,57,6,0,Alone,0,38,1277,24,25
6201,Graduate,38643.0,1,1,45,7,1,Alone,0,36,49,7,14
2061,Graduate,50737.0,0,1,61,6,0,Partner,1,59,99,7,14
6184,Postgraduate,68462.0,0,0,6,1,0,Partner,0,45,1670,15,25
6142,Postgraduate,65073.0,0,0,65,2,1,Partner,0,71,900,14,17
4107,Postgraduate,46681.0,0,2,52,5,0,Partner,0,66,425,16,17
7274,Graduate,78618.0,0,0,87,2,0,Partner,1,57,2153,22,28
9336,Postgraduate,62187.0,0,1,38,4,0,Alone,0,45,636,21,10
2958,Graduate,28442.0,2,0,53,4,0,Partner,0,36,57,10,11
933,Postgraduate,37717.0,1,0,31,9,0,Partner,0,36,25,4,26
5837,Graduate,51479.0,1,1,67,7,0,Partner,0,47,494,22,25
10704,Graduate,54803.0,0,1,65,4,0,Alone,0,45,693,19,29
5125,Graduate,79530.0,0,0,64,2,0,Partner,0,54,1348,26,20
4432,Graduate,31615.0,1,0,82,7,0,Alone,0,38,51,7,22
5955,Graduate,72025.0,0,0,27,3,0,Partner,0,52,1932,16,26
2928,Postgraduate,52614.0,0,1,63,8,0,Alone,0,39,990,16,36
5680,Undergraduate,35684.0,1,0,66,6,0,Partner,0,30,30,5,9
10313,Graduate,48178.0,1,1,69,8,0,Partner,0,39,254,16,27
2557,Postgraduate,29548.0,1,0,52,4,0,Alone,1,44,29,5,17
1245,Graduate,63810.0,0,1,45,8,0,Alone,1,48,1371,23,26
1519,Postgraduate,38578.0,1,1,2,8,0,Alone,0,42,73,9,19
10703,Postgraduate,46098.0,1,1,86,8,0,Alone,0,39,120,11,29
